governorID,name,Alliance,power,killpoints,highestPower,deads,t1_kills,t1_KP,t2_kills,t2_KP,t3_kills,t3_KP,t4_kills,t4_KP,t5_kills,t5_KP
25160130,KnightzTemplar,[DoS]Dawn of Spartans,"61,491,485","53,432,363","62,947,018","6,749,061","186,855","37,371",770,"1,540","4,483","17,932","1,618,488","16,184,880","1,859,532","37,190,640"
39624206,Mightymouse Ph,[G$52]The Goon Squad,"61,452,325","614,225,044","77,910,130","21,216,236","3,590,181","718,036","8,021,237","16,042,474","849,271","3,397,084","20,247,505","202,475,050","19,579,620","391,592,400"
69568472,ihoox,[MAHA]Phoenix Force,"61,404,495","153,896,315","73,701,185","9,740,756","28,879,936","5,775,987","312,932","625,864","472,786","1,891,144","7,198,910","71,989,100","3,680,711","73,614,220"
30032294,omega karol,[DoS]Dawn of Spartans,"60,807,608","548,483,094","63,586,323","13,123,897","2,344,013","468,802","1,639,349","3,278,698","4,135,086","16,540,344","29,340,533","293,405,330","11,739,496","234,789,920"
85331953,danttee,[DoS]Dawn of Spartans,"60,359,359","136,200,600","66,401,517","3,332,914","109,012","21,802","588,897","1,177,794","326,886","1,307,544","4,057,274","40,572,740","4,656,036","93,120,720"
401770,Bad Grandpaskip,[MAHA]Phoenix Force,"60,321,429","212,297,975","85,750,479","11,762,871","367,548","73,509","1,108,797","2,217,594","1,219,463","4,877,852","14,531,700","145,317,000","2,990,601","59,812,020"
91382952,Sabbaah,[DoS]Dawn of Spartans,"60,158,654","148,431,883","66,740,815","2,057,485","115,656","23,131","72,476","144,952",225,"32,900",7,"004,390","3,909,350","78,187,000"
63718820,DeathbyDragon,[57Tp]Tolla Prime,"59,591,890","58,738,663","61,654,870","4,782,649","191,598","38,319","88,143","176,286","80,147","320,588","2,109,455","21,094,550","1,855,446","37,108,920"
63445766,KR Sky blue 1,[57Tp]Tolla Prime,"60,146,337","105,719,334","83,532,223","7,448,014","409,003","81,800","279,753","559,506","469,227","1,876,908","3,148,490","31,484,900","3,585,811","71,716,220"
97071004,penwar x,[DoS]Dawn of Spartans,"58,870,456","140,914,329","58,870,456","9,039,437","1,125,918","225,183","740,143","1,480,286","1,077,125","4,308,500","8,209,722","82,097,220","2,640,157","52,803,140"
6765441,naelor shield,[DoS]Dawn of Spartans,"57,932,002","139,973,126","59,275,982","10,597,964","303,742","60,748","1,151,795","2,303,590","2,092,557","8,370,228","3,247,648","32,476,480","4,838,104","96,762,080"
